,Area,Year,Area Harvested (1000 HA),Production (1000 MT),Yield (MT/HA),dewpoint_temperature_2m (°C),soil_temperature_level_1 (°C),soil_temperature_level_2 (°C),soil_temperature_level_3 (°C),soil_temperature_level_4 (°C),surface_net_solar_radiation_sum (J/m^2),temperature_2m (°C),temperature_2m_max (°C),temperature_2m_min (°C),total_evaporation_sum (mm),total_precipitation_sum (mm),u_component_of_wind_10m (m/s),v_component_of_wind_10m (m/s),volumetric_soil_water_layer_1 (vol fraction),volumetric_soil_water_layer_2 (vol fraction),volumetric_soil_water_layer_3 (vol fraction),volumetric_soil_water_layer_4 (vol fraction)
0,Kenya,1960,1050.0,1143.0,1.09,15.9243195062936,26.955910967928876,26.916579262542374,26.90932145282176,26.941012537451957,529124298.3442499,24.2364281716504,31.358949106860738,18.246775029909426,-696.0987389739034,816.8507915764026,-1.7158020333178357,1.6288805915785673,0.1933376033374695,0.21946021867063722,0.2164912948252008,0.21676223412661902
1,Kenya,1961,1050.0,1270.0,1.21,16.561341547620476,26.655510230127202,26.64822385077557,26.727530375773622,26.923847605381127,517689868.20725614,24.089824311671478,31.236868444660193,18.196873501002766,-784.8768921509451,1083.460766228669,-1.4515299363558853,1.4231168857292544,0.21627738757395135,0.23701068048398125,0.2232703242380014,0.21282290923088254
2,Kenya,1962,1150.0,1397.0,1.21,15.53605081295342,26.98103069504869,26.895298793518435,26.767869834961548,26.53504160482611,532353635.4832716,24.2405485403203,31.63744493554493,17.842571618844044,-673.8482046845525,737.1307041521447,-1.548178182433621,1.4268866224241525,0.1841656434264202,0.21583481275864771,0.2280341861989524,0.2272616756519283
3,Kenya,1963,1133.0,1400.0,1.24,16.18449500899023,26.623489590526678,26.604944564584212,26.650717263486357,26.75305334137539,514010231.6990388,23.985978982260505,30.9899391646605,18.09904037532965,-717.5927378681989,997.2403011868678,-1.4282090213541536,1.4690919350927365,0.20576827108247606,0.22938771269405997,0.2262657491238914,0.22430815452925412
4,Kenya,1964,1133.0,1270.0,1.12,15.905193396921746,26.726709497260256,26.666961536006237,26.605766470181678,26.54352894287992,517920447.76267225,24.055407835047234,31.18465043453031,18.048842975092395,-685.2741413026987,753.9098797000676,-1.5376790077036329,1.557983276992317,0.19042765063595138,0.22077531993528987,0.22776421174222042,0.2259810613142966
5,Kenya,1965,1133.0,1270.0,1.12,15.40860211213691,27.2640108256918,27.198549212087645,27.116176940682887,27.018440958358514,538309661.7220919,24.411501881034553,31.726352897087846,18.12457313864323,-631.2897554586098,736.2436999693024,-1.6339378309350572,1.5538132635272464,0.18539181907554658,0.21129928867496608,0.2079726800023063,0.2169525775790957
6,Kenya,1966,1214.0,1451.0,1.2,15.766082144227331,27.842478100300823,27.76973869615776,27.654099495655625,27.483692947797255,545499869.325481,24.922072644996177,32.22163585617421,18.65945713199139,-637.4398370020292,711.2954312682529,-1.6697091378671365,1.7016996499889363,0.18221607500474135,0.20875476299157258,0.20886011101971927,0.21341080088653408
7,Kenya,1967,1170.0,1633.0,1.4,15.656231415037828,26.947492425906177,26.950417971233502,27.062395049945692,27.333562582363715,536765629.9080644,24.180714164409917,31.39093177338,18.058349803124784,-692.5235026943445,924.4994840925393,-1.5461131028700767,1.4252341429104105,0.2002648705966964,0.2265195055549457,0.22215187484521914,0.2123270364521517
8,Kenya,1968,1214.0,1600.0,1.32,15.744045194045015,26.43651270639037,26.382176385427858,26.332546001414286,26.248887728357833,525483376.8747637,23.80678312735324,30.965824731078133,17.64757029279248,-733.1932495136672,874.9140894707837,-1.5489702058916548,1.4217384500458687,0.20133593015758774,0.22942436230950922,0.2346246975370124,0.22642512609220275
9,Kenya,1969,1250.0,1400.0,1.12,15.662591536591469,27.725939940731205,27.636426488069855,27.480987985904395,27.241383026254567,539333635.8746792,24.785801223859718,32.15074013781149,18.162860678152256,-566.8866896205359,546.3709588491733,-1.77415386279275,1.5823277015360426,0.16674265903141813,0.1958199450958066,0.1988455915895024,0.2158287972991758
10,Kenya,1970,1255.0,1500.0,1.2,15.537700772309378,27.559975576840596,27.515569370788853,27.491522905817067,27.47803883808894,530802706.6611242,24.673096036764175,31.964534716595878,18.303873769742765,-581.5549497939103,692.0859181375379,-1.644550786606341,1.5589536514610598,0.17649328504962927,0.20508339198732306,0.20314105033262664,0.2097507849935103
11,Kenya,1971,1255.0,1300.0,1.04,14.862425336430567,27.011395489872502,27.008122118541973,27.082944558773423,27.232589260508224,524772702.082773,24.216053147953485,31.691510762611202,17.877228978905293,-585.5469722156791,772.8233886729853,-1.609975008549977,1.41354213070479,0.18396517002082877,0.20802366406325543,0.20573176704749987,0.2085448395919938
12,Kenya,1972,1250.0,1700.0,1.36,15.86448123334795,27.517309674232184,27.448018643546302,27.368757167282542,27.29776504945541,526950261.2959785,24.709772499915818,32.037631111524895,18.57804320445427,-615.2000214088589,752.0962593788927,-1.7172270983513256,1.45708297117537,0.18639476391668294,0.21040574317580898,0.20503744173907887,0.2069725700560627
13,Kenya,1973,1250.0,1600.0,1.28,15.26775964915106,27.920203659825916,27.871794176284926,27.834945863329697,27.771190285998717,533665945.4211213,25.033437305743778,32.57026032712849,18.491467216942755,-564.7500078815433,616.9419715567659,-1.753394589179648,1.5925103004944337,0.17140119011484148,0.20071461516077327,0.20428305056584137,0.20629664722496757
14,Kenya,1974,1250.0,1600.0,1.28,14.94241042374066,27.404567888456665,27.3560340974286,27.3016978910246,27.252889914910245,530306726.8483477,24.526101706132497,31.725729656943347,18.23724983841689,-536.8445321558772,618.7433106072633,-1.9561457897679608,1.5885562092642358,0.1723617624765056,0.20060293142997565,0.20112974971489972,0.20221122663013116
15,Kenya,1975,1100.0,1900.0,1.73,15.255903531965302,27.20892971241908,27.180687209880748,27.207475557529918,27.302322452711937,522817689.37545633,24.4283471749216,31.69887904495296,18.11468841784365,-566.0664271726711,677.2180052176795,-1.741446751319286,1.6160178421443454,0.17727992142661428,0.20296354357258814,0.19883370657417476,0.1999729711134448
16,Kenya,1976,1100.0,2195.0,2.0,15.5013571773215,27.410273401736408,27.3659808812254,27.329855114019676,27.259222478784523,532215674.0480754,24.56935559568093,31.83683758643951,18.34620707022947,-582.1347788802331,663.8390355693273,-1.8087453236346027,1.621139333831155,0.17740713013896012,0.20083283494972992,0.19649379605091674,0.1985344531415927
